timestamp,open,price,high,low,volume
2026-02-21 03:30:00,0.004,0.004,0.004,0.004,875.4
2026-02-21 03:35:00,0.004,0.004,0.996,0.004,42907.635
2026-02-21 03:40:00,0.004,0.004,0.004,0.004,559.8
2026-02-21 03:45:00,0.996,0.004,0.996,0.004,824.4
2026-02-21 03:50:00,0.004,0.004,0.995,0.004,2986.4
2026-02-21 03:55:00,0.004,0.004,0.004,0.004,498.6
2026-02-21 04:00:00,0.004,0.004,0.004,0.004,51.2
2026-02-21 04:05:00,0.004,0.004,0.004,0.004,384.4
2026-02-21 04:10:00,0.004,0.004,0.004,0.004,195.6
2026-02-21 04:15:00,0.004,0.004,0.004,0.004,128.4
2026-02-21 04:20:00,0.004,0.004,0.004,0.004,177.20000000000002
2026-02-21 04:25:00,0.004,0.004,0.004,0.004,53.2
2026-02-21 04:30:00,,,,,0.0
2026-02-21 04:35:00,,,,,0.0
2026-02-21 04:40:00,,,,,0.0
2026-02-21 04:45:00,,,,,0.0
2026-02-21 04:50:00,,,,,0.0
2026-02-21 04:55:00,,,,,0.0
2026-02-21 05:00:00,,,,,0.0
2026-02-21 05:05:00,0.005,0.005,0.005,0.005,2000.0
2026-02-21 05:10:00,,,,,0.0
2026-02-21 05:15:00,,,,,0.0
2026-02-21 05:20:00,0.996,0.996,0.996,0.996,99.39500000000001
